invoice_and_item_number,date,store_number,store_name,address,city,zip_code,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-53413700002,2022-11-25,5512,CASEY'S GENERAL STORE #3639 / POSTVILLE,620 W TILDEN ST,POSTVILLE,52162.0,,ALLAMAKEE,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-21265200023,2019-08-15,5034,LIQUOR TOBACCO & GROCERIES,18 N MONROE AVE,MASON CITY,50401,17,CERRO GORDO,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11786,BLACK VELVET TRAVELER,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-26030900004,2020-03-20,4684,INDY 66 #928 / INDIANOLA,1201 N JEFFERSON,INDIANOLA,50125.0,91,WARREN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-20965400061,2019-07-31,2502,HY-VEE WINE AND SPIRITS / ANKENY,410 NORTH ANKENY BLVD,ANKENY,50021,77,POLK,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11786,BLACK VELVET TRAVELER,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-34854900007,2021-03-08,4663,CASEY'S GENERAL STORE #3077 / PEOSTA,236 PEOSTA ST,PEOSTA,52068.0,31,DUBUQUE,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-55832900014,2023-02-14,4825,CASEY'S GENERAL STORE #3212 / OSCEOLA,100 W MCLANE ST,OSCEOLA,50213.0,,CLARKE,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.5,8.25,24,188.4,18.0,4.75
INV-19454200013,2019-05-20,5356,CASEY'S GENERAL STORE # 3561/ CEDAR RAPIDS,1532 ELLIS BLVD NW,CEDAR RAPIDS,52405,57,LINN,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11786,BLACK VELVET TRAVELER,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-40211700001,2021-09-17,4817,CASEY'S GENERAL STORE #3217 / KNOXVILLE,"1201, E MAIN ST",KNOXVILLE,50138.0,63,MARION,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-50031600001,2022-08-03,5469,CHROME TRUCK STOP,211 HIGHWAY 18 E.,ALGONA,50511.0,,KOSSUTH,1012100.0,CANADIAN WHISKIES,421,SAZERAC COMPANY  INC,11936,CANADIAN LTD WHISKY PET,12,750,6.25,9.38,24,156.24,18.0,4.75
INV-40277300050,2021-09-21,2593,HY-VEE FOOD STORE / CARROLL,905 US HIGHWAY 30 WEST,CARROLL,51401.0,14,CARROLL,1012100.0,CANADIAN WHISKIES,395,PROXIMO,14192,PENDLETON CANADIAN WHISKY,12,750,13.5,20.25,24,486.0,18.0,4.75
INV-44373900020,2022-02-02,2585,HY-VEE WINE AND SPIRITS / ALGONA,1502 HIGHWAY 169 N SUITE 1,ALGONA,50511,55,KOSSUTH,1012100.0,CANADIAN WHISKIES,380,PHILLIPS BEVERAGE,14532,REVEL STOKE ROADKILL CHERRY,12,750,9.02,13.53,24,324.72,18.0,4.75
INV-20503500004,2019-07-09,5120,CASEY'S GENERAL STORE #3442 / MAPLET,"401, S  4TH  ST",MAPLETON,51034,67,MONONA,1012100.0,CANADIAN WHISKIES,65,JIM BEAM BRANDS,15296,WINDSOR CANADIAN PET,12,750,4.67,7.01,24,168.24,18.0,4.75
INV-18090700039,2019-03-12,3769,WAL-MART 0753 / CEDAR FALL,525 BRANDILYNN BLVD,CEDAR FALLS,50613,7,BLACK HAWK,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15626,JAMESON,12,750,15.99,23.99,24,575.76,18.0,4.75
INV-39572300061,2021-08-26,2588,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,4035 MT VERNON RD SE,CEDAR RAPIDS,52403.0,57,LINN,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15626,JAMESON,12,750,16.49,24.74,24,593.76,18.0,4.75
INV-38346400033,2021-07-14,2522,HY-VEE WINE AND SPIRITS / SPIRIT LAKE,HWY 9 & 71,SPIRIT LAKE,51360.0,30,DICKINSON,1012400.0,IRISH WHISKIES,370.0,PERNOD RICARD USA,15626,JAMESON,12,750,16.49,24.74,24,593.76,18.0,4.75
INV-39429000086,2021-08-23,2524,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001.0,31,DUBUQUE,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15626,JAMESON,12,750,16.49,24.74,24,593.76,18.0,4.75
INV-53602600002,2022-12-02,2607,HY-VEE WINE AND SPIRITS / SHENANDOAH,520 SO FREMONT,SHENANDOAH,51601.0,,PAGE,1012400,IRISH WHISKIES,370,PERNOD RICARD USA,15626,JAMESON,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-30570500044,2020-09-28,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240.0,52,JOHNSON,1012400.0,IRISH WHISKIES,370.0,PERNOD RICARD USA,15658,JAMESON CASKMATES,12,750,16.49,24.74,24,593.76,18.0,4.75
INV-22474300013,2019-10-11,2560,HY-VEE FOOD STORE / MARION,3600 BUSINESS HWY 151 EAST,MARION,52302.0,57,LINN,1012400.0,IRISH WHISKIES,370.0,PERNOD RICARD USA,15667,JAMESON BLACK BARREL,12,750,21.48,32.22,24,773.28,18.0,4.75
INV-24573300004,2020-01-15,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240.0,52,JOHNSON,1012400.0,IRISH WHISKIES,240.0,WILLIAM GRANT & SONS INC,15940,TULLAMORE DEW IRISH WHISKY,12,750,15.0,22.5,24,540.0,18.0,4.75
INV-22498800046,2019-10-14,2633,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320.0,77,POLK,1012400.0,IRISH WHISKIES,240.0,WILLIAM GRANT & SONS INC,15940,TULLAMORE DEW IRISH WHISKY,12,750,15.0,22.5,24,540.0,18.0,4.75
INV-43751100005,2022-01-12,3525,WINES AND SPIRITS / WASHINGTON,106 W 2ND ST,WASHINGTON,52353.0,92,WASHINGTON,1011500.0,BOTTLED IN BOND BOURBON,259,HEAVEN HILL BRANDS,16096,EVAN WILLIAMS BOTTLED IN BOND,12,750,10.0,15.0,24,360.0,18.0,4.75
INV-50886600022,2022-09-01,6144,NORTHSIDE LIQUOR AND GROCERY / MASON CITY,1303 N FEDERAL,MASON CITY,50401.0,,CERRO GORDO,1011500.0,BOTTLED IN BOND BOURBON,259,HEAVEN HILL BRANDS,16096,EVAN WILLIAMS BOTTLED IN BOND,12,750,10.0,15.0,24,360.0,18.0,4.75
INV-36013300017,2021-04-21,2565,HY-VEE FOOD STORE #1636 / SPENCER,819 N GRAND AVE,SPENCER,51301.0,21,CLAY,1011200.0,STRAIGHT BOURBON WHISKIES,85.0,BROWN FORMAN CORP.,16396,OLD FORESTER SIGNATURE 100PRF BOURBON,12,750,11.8,17.7,24,424.8,18.0,4.75
INV-42930200001,2021-12-15,2605,HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,2001 BLAIRS FERRY ROAD NE,CEDAR RAPIDS,52402.0,57,LINN,1011200.0,STRAIGHT BOURBON WHISKIES,260,DIAGEO AMERICAS,17086,BULLEIT BOURBON,12,750,16.5,24.75,24,594.0,18.0,4.75
INV-35080700017,2021-03-17,4119,TARGET STORE T-2526 / CEDAR FALLS,214 VIKING PLAZA DR,CEDAR FALLS,50613.0,7,BLACK HAWK,1011200.0,STRAIGHT BOURBON WHISKIES,260.0,DIAGEO AMERICAS,17086,BULLEIT BOURBON,12,750,16.5,24.75,24,594.0,18.0,4.75
INV-25448600002,2020-02-25,3663,WAL-MART 1496 / WATERLOO,1334 FLAMMANG DR,WATERLOO,50702,7,BLACK HAWK,1011200.0,STRAIGHT BOURBON WHISKIES,260,DIAGEO AMERICAS,17086,BULLEIT BOURBON,12,750,16.5,24.75,24,594.0,18.0,4.75
INV-50983400012,2022-09-07,3354,SAM'S CLUB 8238 / DAVENPORT,3845 ELMORE AVE.,DAVENPORT,52807.0,,SCOTT,1011200.0,STRAIGHT BOURBON WHISKIES,125,CEDAR RIDGE VINEYARDS LL,17206,CEDAR RIDGE BOURBON,6,750,18.67,28.01,24,672.24,18.0,4.75
INV-29896800052,2020-09-01,4185,FAREWAY STORES #737 / GRINNELL,727 WEST ST,GRINNELL,50112.0,79,POWESHIEK,1011200.0,STRAIGHT BOURBON WHISKIES,259.0,HEAVEN HILL BRANDS,17916,ELIJAH CRAIG,12,750,15.0,22.5,24,540.0,18.0,4.75
INV-34092900067,2021-02-08,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314.0,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,259,HEAVEN HILL BRANDS,17916,ELIJAH CRAIG,12,750,15.0,22.5,24,540.0,18.0,4.75
INV-28521400031,2020-07-06,4162,FAREWAY STORES #963 / CEDAR RAPIDS,4220  16TH AVE SW,CEDAR RAPIDS,52404,57,LINN,1011200.0,STRAIGHT BOURBON WHISKIES,259,HEAVEN HILL BRANDS,17956,EVAN WILLIAMS BLACK,12,750,8.0,12.0,24,288.0,18.0,4.75
INV-16149600008,2018-12-06,3899,WAL-MART 3762 / WDM,6365 STAGECOACH DR,WEST DES MOINES,50266,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,259,HEAVEN HILL BRANDS,17956,EVAN WILLIAMS STR BOURBON,12,750,7.74,11.61,24,278.64,18.0,4.75
INV-30665500026,2020-09-30,2501,HY-VEE  #2 / AMES,640 LINCOLNWAY,AMES,50010.0,85,STORY,1011200.0,STRAIGHT BOURBON WHISKIES,259.0,HEAVEN HILL BRANDS,17956,EVAN WILLIAMS BLACK,12,750,8.0,12.0,24,288.0,18.0,4.75
INV-45734200020,2022-03-18,4514,CASEY'S GENERAL STORE #2813 / FORT DODGE,1230 3RD AVE NW,FORT DODGE,50501.0,94,WEBSTER,1011200.0,STRAIGHT BOURBON WHISKIES,259,HEAVEN HILL BRANDS,18116,EVAN WILLIAMS BLACK PET,12,750,8.5,12.75,24,306.0,18.0,4.75
INV-14956900022,2018-10-10,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,52,JOHNSON,1011200.0,STRAIGHT BOURBON WHISKIES,434,LUXCO INC,18196,EZRA BROOKS 50 MO KY SOUR MASH BOURBON,12,750,7.5,11.25,24,306.0,18.0,4.75
INV-26604000030,2020-04-16,2675,HY-VEE #2 / CORALVILLE,3285 CROSSPARK RD,CORALVILLE,52241.0,52,JOHNSON,1011200.0,STRAIGHT BOURBON WHISKIES,434,LUXCO INC,18196,EZRA BROOKS SOUR MASH BOURBON,12,750,7.5,11.25,24,270.0,18.0,4.75
INV-53878500009,2022-12-12,10074,COSTCO WHOLESALE #1630 / ANKENY,4000 NE SPECTRUM DRIVE,ANKENY,50021.0,,POLK,1011200,STRAIGHT BOURBON WHISKIES,184,FOUR ROSES DISTILLERY,18348,FOUR ROSES SMALL BATCH,6,750,17.5,26.25,24,630.0,18.0,4.75
INV-17924400034,2019-03-05,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,184,FOUR ROSES DISTILLERY,18348,FOUR ROSES SMALL BATCH,6,750,15.17,22.76,24,546.24,18.0,4.75
INV-33570100029,2021-01-19,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023.0,77,POLK,1011300.0,SINGLE BARREL BOURBON WHISKIES,184.0,FOUR ROSES DISTILLERY,18350,FOUR ROSES SINGLE BARREL,6,750,21.17,31.76,24,762.24,18.0,4.75
INV-55164400019,2023-01-23,2633,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,830,KIRIN BEER & SPIRITS OF AMERICA INC / FOUR ROSES DISTILLERY,18352,FOUR ROSES BOURBON,12,750,12.5,18.75,24,450.0,18.0,4.75
INV-43968100039,2022-01-20,5102,WILKIE LIQUORS,724 1ST  ST  SE,MOUNT VERNON,52314.0,57,LINN,1011200.0,STRAIGHT BOURBON WHISKIES,184,FOUR ROSES DISTILLERY,18352,FOUR ROSES BOURBON,12,750,12.5,18.75,24,450.0,18.0,4.75
INV-42214700015,2021-11-22,2633,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320.0,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,184,FOUR ROSES DISTILLERY,18352,FOUR ROSES BOURBON,12,750,12.5,18.75,24,450.0,18.0,4.75
INV-53634500040,2022-12-05,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240.0,,JOHNSON,1011200,STRAIGHT BOURBON WHISKIES,184,FOUR ROSES DISTILLERY,18352,FOUR ROSES BOURBON,12,750,12.5,18.75,24,450.0,18.0,4.75
INV-25616700102,2020-03-04,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240.0,52,JOHNSON,1011200.0,STRAIGHT BOURBON WHISKIES,184,FOUR ROSES DISTILLERY,18352,FOUR ROSES YELLOW LABEL,12,750,11.84,17.76,24,426.24,18.0,4.75
INV-44834500010,2022-02-17,6242,WALL TO WALL WINE AND SPIRITS / WEST DES MOINES,375 SOUTH JORDAN CREEK PARKWAY,WEST DES MOINES,50266.0,25,DALLAS,1011200.0,STRAIGHT BOURBON WHISKIES,184,FOUR ROSES DISTILLERY,18376,FOUR ROSES SMALL BATCH SELECT,6,750,30.0,45.0,24,1080.0,18.0,4.75
INV-29545800048,2020-08-18,2637,HY-VEE #5 / DAVENPORT,2351 W LOCUST,DAVENPORT,52804.0,82,SCOTT,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19066,JIM BEAM,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-34411400030,2021-02-18,4147,FAREWAY STORES #974 / CEDAR FALLS,214 N MAGNOLIA DR,CEDAR FALLS,50613.0,7,BLACK HAWK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19066,JIM BEAM,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-26927700022,2020-04-30,5106,RANDY'S NEIGHBORHOOD MARKET,622 10TH  ST,DEWITT,52742.0,23,CLINTON,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19066,JIM BEAM,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-35649000001,2021-04-08,6048,MOD / FORT MADISON,1531 AVE H,FORT MADISON,52627.0,56,LEE,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19066,JIM BEAM,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-32329400022,2020-11-30,2524,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001.0,31,DUBUQUE,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19066,JIM BEAM,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-15736700003,2018-11-15,4803,WALGREENS #07453 / DES MOINES,104 E EUCLID AVE,DES MOINES,50313,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19066,JIM BEAM,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-39467800008,2021-08-24,4553,CASEY'S GENERAL STORE #1892 / SHEFFIELD,702 E GILMAN ST,SHEFFIELD,50475.0,35,FRANKLIN,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19066,JIM BEAM,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-18844300001,2019-04-18,3877,TARGET STORE T-2041 / DES MOINES,5901 DOUGLAS AVE,DES MOINES,50322,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19066,JIM BEAM,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-35562500011,2021-04-05,4158,FAREWAY STORES #409 / CARROLL,709 MONTEREY DR,CARROLL,51401.0,14,CARROLL,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19066,JIM BEAM,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-25179400105,2020-02-12,2502,HY-VEE WINE AND SPIRITS / ANKENY,410 NORTH ANKENY BLVD,ANKENY,50021,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19096,JIM BEAM PET,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-37288200034,2021-06-08,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023.0,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19096,JIM BEAM PET,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-55524100040,2023-02-02,2626,HY-VEE DRUGSTORE / UNIVERSITY / DSM,4100 UNIVERSITY AVE,DES MOINES,50311,,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19096,JIM BEAM PET,12,750,11.0,16.5,24,396.0,18.0,4.75
INV-55609200022,2023-02-06,5102,WILKIE LIQUORS,724 1ST STREET NE,MOUNT VERNON,52314.0,,LINN,1011200,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19476,MAKERS MARK,12,750,18.0,27.0,24,648.0,18.0,4.75
INV-26943500093,2020-04-30,2548,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009.0,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19476,MAKERS MARK,12,750,17.5,26.25,24,630.0,18.0,4.75
INV-37333900052,2021-06-09,2502,HY-VEE WINE AND SPIRITS / ANKENY,410 NORTH ANKENY BLVD,ANKENY,50021.0,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19476,MAKERS MARK,12,750,17.5,26.25,24,630.0,18.0,4.75
INV-38097900086,2021-07-06,2651,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677.0,9,BREMER,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19476,MAKERS MARK,12,750,17.5,26.25,24,630.0,18.0,4.75
INV-27642200002,2020-06-02,4231,FAREWAY STORES #719 / LE MARS,115 PLYMOUTH ST NE,LE MARS,51031.0,75,PLYMOUTH,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19476,MAKERS MARK,12,750,17.5,26.25,24,630.0,18.0,4.75
INV-40133800011,2021-09-16,2633,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320.0,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,85,BROWN FORMAN CORP.,20366,OLD FORESTER BOURBON 86PRF,12,750,10.92,16.38,24,393.12,18.0,4.75
INV-53322800044,2022-11-23,2675,HY-VEE #2 / CORALVILLE,3285 CROSSPARK RD,CORALVILLE,52241.0,,JOHNSON,1011100,BLENDED WHISKIES,978,W J DEUTSCH & SONS LTD,21222,REDEMPTION BOURBON WHISKEY,12,750,14.92,22.38,24,537.12,18.0,4.75
INV-37209900001,2021-06-05,6151,UNIVERSITY LIQUORS / WDM,9250 UNIVERSITY AVE  UNIT 115,WEST DES MOINES,50266.0,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,55,SAZERAC NORTH AMERICA,21236,RIDGEMONT RESERVE 1792,6,750,16.12,24.18,24,580.32,18.0,4.75
INV-40967700012,2021-10-14,2633,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320.0,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,619,CAMPARI AMERICA,22156,WILD TURKEY 101,12,750,14.0,21.0,24,504.0,18.0,4.75
INV-33036900065,2020-12-26,2573,HY-VEE FOOD STORE / MUSCATINE,2400 2ND AVE,MUSCATINE,52761.0,70,MUSCATINE,1011200.0,STRAIGHT BOURBON WHISKIES,619.0,CAMPARI AMERICA,22156,WILD TURKEY 101,12,750,14.0,21.0,24,504.0,18.0,4.75
INV-56336200002,2023-03-03,2524,HY-VEE FOOD STORE #1 (1159) / DUBUQUE,3500 DODGE ST,DUBUQUE,52001.0,,DUBUQUE,1011200,STRAIGHT BOURBON WHISKIES,85,BROWN FORMAN CORP.,22215,WOODFORD RESERVE,12,750,23.0,34.5,24,828.0,18.0,4.75
INV-46952900001,2022-04-28,2621,HY-VEE FOOD STORE #3 / SIOUX CITY,3301 GORDON DR,SIOUX CITY,51105,97,WOODBURY,1011200.0,STRAIGHT BOURBON WHISKIES,85,BROWN FORMAN CORP.,22215,WOODFORD RESERVE,12,750,22.49,33.74,24,809.76,18.0,4.75
INV-24126300034,2019-12-24,3494,SAM'S CLUB 6514 / WATERLOO,210 EAST TOWER PARK DR,WATERLOO,50702.0,7,BLACK HAWK,1011200.0,STRAIGHT BOURBON WHISKIES,85.0,BROWN FORMAN CORP.,22215,WOODFORD RESERVE,12,750,22.49,33.74,24,809.76,18.0,4.75
INV-48776200008,2022-06-29,2513,HY-VEE FOOD STORE #2 / IOWA CITY,812 S 1ST AVE,IOWA CITY,52240.0,52,JOHNSON,1011200.0,STRAIGHT BOURBON WHISKIES,85,BROWN FORMAN CORP.,22215,WOODFORD RESERVE,12,750,23.0,34.5,24,809.76,18.0,4.75
INV-16053500093,2018-12-04,2624,HY-VEE #2 / DUBUQUE,2395 NW ARTERIAL RD,DUBUQUE,52002,31,DUBUQUE,1011200.0,STRAIGHT BOURBON WHISKIES,85,BROWN FORMAN CORP.,22215,WOODFORD RESERVE,12,750,22.49,33.74,24,809.76,18.0,4.75
INV-18131800001,2019-03-14,5666,COSTCO WHOLESALE #1325 / DAVENPORT,2790 E 53RD ST,DAVENPORT,52807,82,SCOTT,1011200.0,STRAIGHT BOURBON WHISKIES,85,BROWN FORMAN CORP.,22228,WOODFORD RESERVE DOUBLE OAKED,6,750,30.49,45.74,24,1097.76,18.0,4.75
INV-21593600035,2019-08-30,4997,DOWNTOWN PANTRY,"218, 6TH AVE #101",DES MOINES,50309,77,POLK,1011100.0,BLENDED WHISKIES,65,JIM BEAM BRANDS,22786,BEAM'S 8 STAR BL WHISKEY,12,750,4.0,6.0,24,144.0,18.0,4.75
INV-26612200026,2020-04-16,5859,LIQUOR TOBACCO & GROCERY - MASON CITY,18 NORTH MONROE AVENUE,MASON CITY,50401.0,17,CERRO GORDO,1011100.0,BLENDED WHISKIES,297,LAIRD & COMPANY,23626,FIVE STAR PET,12,750,3.5,5.25,24,126.0,18.0,4.75
INV-24213100113,2019-12-28,4180,SMOKIN' JOE'S #10 TOBACCO AND LIQUOR OUTLET,480 7TH AVE,MARION,52302.0,57,LINN,1011100.0,BLENDED WHISKIES,297.0,LAIRD & COMPANY,23626,FIVE STAR PET,12,750,3.5,5.25,24,126.0,18.0,4.75
INV-17535600002,2019-02-13,3916,SMOKIN' JOE'S #5 TOBACCO AND LIQUOR OUTLET,1115 ALBIA RD,OTTUMWA,52501,90,WAPELLO,1011100.0,BLENDED WHISKIES,297.0,LAIRD & COMPANY,23826,FIVE STAR,12,750,3.5,5.25,24,126.0,18.0,4.75
INV-38614100008,2021-07-23,4752,GASLAND / BURLINGTON,1003 SUMMER ST,BURLINGTON,52655.0,29,DES MOINES,1011100.0,BLENDED WHISKIES,297.0,LAIRD & COMPANY,23826,FIVE STAR,12,750,3.5,5.25,24,126.0,18.0,4.75
INV-28246600017,2020-06-24,2601,HY-VEE FOOD STORE / FAIRFIELD,1300 WEST BURLINGTON AVE,FAIRFIELD,52556.0,51,JEFFERSON,1011100.0,BLENDED WHISKIES,297.0,LAIRD & COMPANY,23826,FIVE STAR,12,750,3.5,5.25,24,126.0,18.0,4.75
INV-21278500010,2019-08-16,5125,CASH SAVER  /  E EUCLID AVE,1320 E  EUCLID AVE,DES MOINES,50316,77,POLK,1011100.0,BLENDED WHISKIES,434,LUXCO INC,24156,HAWKEYE BLENDED WHISKEY,12,750,3.5,5.25,24,126.0,18.0,4.75
INV-32455600012,2020-12-04,2851,CVS / PHARMACY #10282 / FORT DODGE,2029 5TH AVE SOUTH,FORT DODGE,50501.0,94,WEBSTER,1011100.0,BLENDED WHISKIES,434.0,LUXCO INC,24156,HAWKEYE BLENDED WHISKEY,12,750,3.5,5.25,24,126.0,18.0,4.75
INV-14719700029,2018-09-28,2607,HY-VEE WINE AND SPIRITS / SHENANDOAH,520 SO FREMONT,SHENANDOAH,51601,73,PAGE,1011100.0,BLENDED WHISKIES,65,JIM BEAM BRANDS,24466,KESSLER BLEND WHISKEY TRAVELER,12,750,5.51,8.27,24,198.48,18.0,4.75
INV-49051900013,2022-07-09,5233,CASEY'S GENERAL STORE #2640 / PLEASA,1006 W PLEASANT ST,PLEASANTVILLE,50225.0,63,MARION,1011100.0,BLENDED WHISKIES,260,DIAGEO AMERICAS,25606,SEAGRAMS 7 CROWN,12,750,7.5,11.25,24,270.0,18.0,4.75
INV-39963100012,2021-09-10,4320,FAREWAY STORES #470 / PERRY,1315 WILLIS AVE,PERRY,50220.0,25,DALLAS,1011100.0,BLENDED WHISKIES,260,DIAGEO AMERICAS,25606,SEAGRAMS 7 CROWN,12,750,7.5,11.25,24,270.0,18.0,4.75
INV-46011200006,2022-03-30,4981,SINCLAIR FOOD MART,206 N MAIN ST,TRAER,50675.0,86,TAMA,1011100.0,BLENDED WHISKIES,260,DIAGEO AMERICAS,25616,SEAGRAMS 7 CROWN PET FLASK,12,750,7.5,11.25,24,270.0,18.0,4.75
INV-48096400007,2022-06-06,6242,WALL TO WALL WINE AND SPIRITS / WEST DES MOINES,375 SOUTH JORDAN CREEK PARKWAY,WEST DES MOINES,50266,25,DALLAS,1011100.0,BLENDED WHISKIES,654,REVELTON DISTILLING COMPANY,26291,REVELTON HONEY WHISKEY,6,750,17.5,26.25,24,612.0,18.0,4.75
INV-47710600036,2022-05-24,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023.0,77,POLK,1012300.0,SINGLE MALT SCOTCH,125,CEDAR RIDGE VINEYARDS LL,26474,CEDAR RIDGE QUINTESSENTIAL AMERICAN SINGLE MALT,6,750,29.84,44.76,24,1074.24,18.0,4.75
INV-37250100028,2021-06-07,3773,BENZ DISTRIBUTING,501 7TH AVE SE,CEDAR RAPIDS,52401.0,57,LINN,1011100.0,BLENDED WHISKIES,125,CEDAR RIDGE VINEYARDS LL,26710,SLIPKNOT IOWA WHISKEY NO. 9,6,750,19.5,29.25,24,702.0,18.0,4.75
INV-52237600007,2022-10-19,9001,CEDAR RIDGE VINEYARDS,1441 MARAK RD NW,SWISHER,52338.0,,JOHNSON,1011100,BLENDED WHISKIES,125,CEDAR RIDGE VINEYARDS LL,26712,SLIPKNOT IOWA WHISKEY NO. 9 RESERVE,6,750,41.34,62.01,24,1488.24,18.0,4.75
